Running object 17999
('ROW:', 17999, 'Tau:', '2.930635198725901', 'V:', '-0.5747739228920569', 'dMu:', '-0.036314921025907596')
         12253849 function calls (12171010 primitive calls) in 95.101 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        2    0.012    0.006    0.012    0.006 {function seed at 0x7f7d1fa25938}
    21956    0.012    0.000    0.012    0.000 _weakrefset.py:70(__contains__)
    64421    0.012    0.000    0.012    0.000 artist.py:734(get_animated)
4482/1408    0.012    0.000    0.014    0.000 sre_parse.py:152(getwidth)
3191/1811    0.012    0.000    0.050    0.000 core.py:1750(__call__)
      464    0.012    0.000    0.012    0.000 {numpy.linalg.lapack_lite.dgelsd}
     6126    0.012    0.000    0.208    0.000 re.py:230(_compile)
    29703    0.012    0.000    0.040    0.000 sre_parse.py:213(get)
14167/14045    0.012    0.000    0.028    0.000 core.py:1939(__hash__)
        5    0.011    0.002    0.011    0.002 {method 'get_content_extents' of 'matplotlib.backends._backend_agg.RendererAgg' objects}
    23114    0.011    0.000    0.023    0.000 core.py:6198(isMaskedArray)
    13790    0.011    0.000    0.101    0.000 {method 'all' of 'numpy.ndarray' objects}
     3457    0.011    0.000    0.044    0.000 artist.py:851(update)
 7389/127    0.011    0.000    0.642    0.005 decorators.py:732(__get__)
    12075    0.011    0.000    0.011    0.000 {method 'split' of 'str' objects}
     1325    0.011    0.000    0.012    0.000 font_manager.py:848(set_weight)
     2920    0.011    0.000    0.113    0.000 card.py:155(__init__)
     3162    0.011    0.000    0.093    0.000 transforms.py:1972(scale)
  903/901    0.011    0.000    0.052    0.000 posixpath.py:380(_joinrealpath)
        1    0.011    0.011    0.011    0.011 suite.py:1(<module>)
        2    0.010    0.005    0.274    0.137 column.py:1252(_init_from_table)
     3406    0.010    0.000    0.010    0.000 {matplotlib._path.affine_transform}
     1047    0.010    0.000    0.020    0.000 sre_compile.py:256(_optimize_charset)
       62    0.010    0.000    0.092    0.001 core.py:2168(_add_prefixes)
