,filter,time,field,noise
496,z,56960.27815966,173.0,0.0018000000000000002
497,z,56960.28125,173.0,0.0018000000000000002
315,i,56966.35546875,173.0,0.0022
498,z,56966.359375,173.0,0.0018000000000000002
499,z,56966.36328125,173.0,0.0018000000000000002
37,g,56973.31487728,173.0,0.0023
172,r,56973.31723038,173.0,0.0021000000000000003
316,i,56973.31930442,173.0,0.0022
500,z,56973.32194213,173.0,0.0018000000000000002
501,z,56973.32421875,173.0,0.0018000000000000002
38,g,56980.31640625,173.0,0.0023
173,r,56980.31902906,173.0,0.0021000000000000003
317,i,56980.32108083,173.0,0.0022
502,z,56980.32421875,173.0,0.0018000000000000002
503,z,56980.328125,173.0,0.0018000000000000002
39,g,56988.0294158,173.0,0.0023
174,r,56988.03176448,173.0,0.0021000000000000003
318,i,56988.03382439,173.0,0.0022
504,z,56988.03647109,173.0,0.0018000000000000002
505,z,56988.0390625,173.0,0.0018000000000000002
319,i,56991.15625,173.0,0.0022
507,z,56991.15822768,173.0,0.0018000000000000002
506,z,56991.16087294,173.0,0.0018000000000000002
40,g,56992.13493091,173.0,0.0023
175,r,56992.13852869,173.0,0.0021000000000000003
320,i,56992.140625,173.0,0.0022
509,z,56992.14324618,173.0,0.0018000000000000002
508,z,56992.14589577,173.0,0.0018000000000000002
176,r,57001.30427969,173.0,0.0021000000000000003
321,i,57001.30636467,173.0,0.0022
510,z,57001.30859375,173.0,0.0018000000000000002
511,z,57001.3125,173.0,0.0018000000000000002
41,g,57008.109375,173.0,0.0023
177,r,57008.11328125,173.0,0.0021000000000000003
322,i,57008.1171875,173.0,0.0022
512,z,57008.12109375,173.0,0.0018000000000000002
42,g,57012.08203125,173.0,0.0023
178,r,57012.08416427,173.0,0.0021000000000000003
323,i,57012.0862193,173.0,0.0022
513,z,57012.08885965,173.0,0.0018000000000000002
514,z,57012.09148908,173.0,0.0018000000000000002
43,g,57018.0703125,173.0,0.0023
179,r,57018.07321426,173.0,0.0021000000000000003
324,i,57018.07527806,173.0,0.0022
515,z,57018.078125,173.0,0.0018000000000000002
516,z,57018.08203125,173.0,0.0018000000000000002
44,g,57019.0703125,173.0,0.0023
180,r,57019.07247011,173.0,0.0021000000000000003
325,i,57019.07453806,173.0,0.0022
518,z,57019.07718943,173.0,0.0018000000000000002
517,z,57019.07982044,173.0,0.0018000000000000002
45,g,57026.16631307,173.0,0.0023
181,r,57026.16867505,173.0,0.0021000000000000003
326,i,57026.17074525,173.0,0.0022
519,z,57026.17340592,173.0,0.0018000000000000002
520,z,57026.17578125,173.0,0.0018000000000000002
46,g,57033.16015625,173.0,0.0023
182,r,57033.16379708,173.0,0.0021000000000000003
327,i,57033.16585759,173.0,0.0022
521,z,57033.16796875,173.0,0.0018000000000000002
522,z,57033.171875,173.0,0.0018000000000000002
47,g,57040.17464001,173.0,0.0023
183,r,57040.17699988,173.0,0.0021000000000000003
328,i,57040.1796875,173.0,0.0022
523,z,57040.18170185,173.0,0.0018000000000000002
524,z,57040.18435932,173.0,0.0018000000000000002
48,g,57047.0859375,173.0,0.0023
184,r,57047.08871149,173.0,0.0021000000000000003
329,i,57047.09078452,173.0,0.0022
525,z,57047.09375,173.0,0.0018000000000000002
526,z,57047.09765625,173.0,0.0018000000000000002
49,g,57054.033829,173.0,0.0023
185,r,57054.03618136,173.0,0.0021000000000000003
330,i,57054.03825163,173.0,0.0022
527,z,57054.04090797,173.0,0.0018000000000000002
528,z,57054.04296875,173.0,0.0018000000000000002
50,g,57061.140625,173.0,0.0023
186,r,57061.14453125,173.0,0.0021000000000000003
331,i,57061.14672616,173.0,0.0022
529,z,57061.14936665,173.0,0.0018000000000000002
530,z,57061.15234375,173.0,0.0018000000000000002
51,g,57066.02960326,173.0,0.0023
187,r,57066.03194813,173.0,0.0021000000000000003
332,i,57066.03401482,173.0,0.0022
531,z,57066.03665874,173.0,0.0018000000000000002
532,z,57066.0390625,173.0,0.0018000000000000002
52,g,57249.421875,173.0,0.0023
53,g,57250.328125,173.0,0.0023
188,r,57250.33203125,173.0,0.0021000000000000003
333,i,57250.33441187,173.0,0.0022
533,z,57250.33706779,173.0,0.0018000000000000002
534,z,57250.33984375,173.0,0.0018000000000000002
54,g,57255.41015625,173.0,0.0023
189,r,57255.41282948,173.0,0.0021000000000000003
334,i,57255.41487894,173.0,0.0022
535,z,57255.41796875,173.0,0.0018000000000000002
536,z,57255.421875,173.0,0.0018000000000000002
55,g,57265.36328125,173.0,0.0023
190,r,57265.36558814,173.0,0.0021000000000000003
335,i,57265.36764078,173.0,0.0022
537,z,57265.37027634,173.0,0.0018000000000000002
538,z,57265.37292454,173.0,0.0018000000000000002
191,r,57276.34238737,173.0,0.0021000000000000003
336,i,57276.34444643,173.0,0.0022
539,z,57276.34765625,173.0,0.0018000000000000002
540,z,57276.3515625,173.0,0.0018000000000000002
56,g,57278.2333936,173.0,0.0023
192,r,57278.23576047,173.0,0.0021000000000000003
337,i,57278.23828125,173.0,0.0022
541,z,57278.24048096,173.0,0.0018000000000000002
542,z,57278.24311805,173.0,0.0018000000000000002
193,r,57286.25390625,173.0,0.0021000000000000003
338,i,57286.25664497,173.0,0.0022
543,z,57286.25929693,173.0,0.0018000000000000002
544,z,57286.26171875,173.0,0.0018000000000000002
57,g,57291.19140625,173.0,0.0023
194,r,57291.19395886,173.0,0.0021000000000000003
339,i,57291.19603651,173.0,0.0022
195,r,57297.1875,173.0,0.0021000000000000003
340,i,57297.19140625,173.0,0.0022
546,z,57297.19408374,173.0,0.0018000000000000002
545,z,57297.19672026,173.0,0.0018000000000000002
58,g,57298.34375,173.0,0.0023
196,r,57298.34765625,173.0,0.0021000000000000003
341,i,57298.34992767,173.0,0.0022
547,z,57298.35258162,173.0,0.0018000000000000002
548,z,57298.35546875,173.0,0.0018000000000000002
59,g,57302.31550332,173.0,0.0023
197,r,57302.31786091,173.0,0.0021000000000000003
550,z,57302.32257917,173.0,0.0018000000000000002
549,z,57302.32521651,173.0,0.0018000000000000002
60,g,57303.15234375,173.0,0.0023
342,i,57303.15625,173.0,0.0022
61,g,57304.17578125,173.0,0.0023
198,r,57304.1796875,173.0,0.0021000000000000003
343,i,57304.18193284,173.0,0.0022
551,z,57304.18457324,173.0,0.0018000000000000002
552,z,57304.1875,173.0,0.0018000000000000002
62,g,57311.35546875,173.0,0.0023
199,r,57311.35745587,173.0,0.0021000000000000003
344,i,57311.35953462,173.0,0.0022
553,z,57311.36218432,173.0,0.0018000000000000002
554,z,57311.36482632,173.0,0.0018000000000000002
63,g,57315.22918149,173.0,0.0023
200,r,57315.2315549,173.0,0.0021000000000000003
345,i,57315.23360859,173.0,0.0022
555,z,57315.23625058,173.0,0.0018000000000000002
556,z,57315.23828125,173.0,0.0018000000000000002
346,i,57319.15063194,173.0,0.0022
557,z,57319.15327295,173.0,0.0018000000000000002
558,z,57319.15625,173.0,0.0018000000000000002
201,r,57325.12109375,173.0,0.0021000000000000003
347,i,57325.125,173.0,0.0022
560,z,57325.12712013,173.0,0.0018000000000000002
559,z,57325.12976821,173.0,0.0018000000000000002
64,g,57329.2109375,173.0,0.0023
202,r,57329.21346738,173.0,0.0021000000000000003
348,i,57329.21553395,173.0,0.0022
561,z,57329.21875,173.0,0.0018000000000000002
562,z,57329.22265625,173.0,0.0018000000000000002
65,g,57332.07421875,173.0,0.0023
203,r,57332.07675463,173.0,0.0021000000000000003
349,i,57332.07883108,173.0,0.0022
563,z,57332.08203125,173.0,0.0018000000000000002
564,z,57332.0859375,173.0,0.0018000000000000002
66,g,57339.29511089,173.0,0.0023
204,r,57339.29747271,173.0,0.0021000000000000003
350,i,57339.299554,173.0,0.0022
565,z,57339.30219251,173.0,0.0018000000000000002
566,z,57339.3046875,173.0,0.0018000000000000002
67,g,57345.31087607,173.0,0.0023
205,r,57345.31443293,173.0,0.0021000000000000003
351,i,57345.31640625,173.0,0.0022
567,z,57345.31913625,173.0,0.0018000000000000002
568,z,57345.321771,173.0,0.0018000000000000002
68,g,57355.23654569,173.0,0.0023
206,r,57355.24003766,173.0,0.0021000000000000003
352,i,57355.2421875,173.0,0.0022
569,z,57355.24476586,173.0,0.0018000000000000002
570,z,57355.24741858,173.0,0.0018000000000000002
69,g,57365.1824405,173.0,0.0023
207,r,57365.18478996,173.0,0.0021000000000000003
353,i,57365.1875,173.0,0.0022
572,z,57365.18951388,173.0,0.0018000000000000002
571,z,57365.19215393,173.0,0.0018000000000000002
70,g,57372.23670977,173.0,0.0023
208,r,57372.23908665,173.0,0.0021000000000000003
354,i,57372.24114583,173.0,0.0022
573,z,57372.24379055,173.0,0.0018000000000000002
574,z,57372.24609375,173.0,0.0018000000000000002
71,g,57375.04550791,173.0,0.0023
209,r,57375.04786822,173.0,0.0021000000000000003
355,i,57375.04994702,173.0,0.0022
575,z,57375.05260039,173.0,0.0018000000000000002
576,z,57375.0546875,173.0,0.0018000000000000002
72,g,57385.1484375,173.0,0.0023
210,r,57385.15077663,173.0,0.0021000000000000003
356,i,57385.15286894,173.0,0.0022
577,z,57385.15550651,173.0,0.0018000000000000002
578,z,57385.158148,173.0,0.0018000000000000002
73,g,57389.1484375,173.0,0.0023
211,r,57389.15157461,173.0,0.0021000000000000003
357,i,57389.15363334,173.0,0.0022
579,z,57389.15625,173.0,0.0018000000000000002
580,z,57389.16015625,173.0,0.0018000000000000002
74,g,57394.15625,173.0,0.0023
212,r,57394.16000502,173.0,0.0021000000000000003
358,i,57394.16206537,173.0,0.0022
581,z,57394.1640625,173.0,0.0018000000000000002
582,z,57394.16796875,173.0,0.0018000000000000002
75,g,57401.13477264,173.0,0.0023
213,r,57401.13824855,173.0,0.0021000000000000003
359,i,57401.140625,173.0,0.0022
584,z,57401.14295389,173.0,0.0018000000000000002
583,z,57401.14558902,173.0,0.0018000000000000002
76,g,57408.06484018,173.0,0.0023
214,r,57408.06719633,173.0,0.0021000000000000003
360,i,57408.06925269,173.0,0.0022
585,z,57408.07189316,173.0,0.0018000000000000002
