,band,fits,object,Tau,V
1,g,C1,129,0.6633970723272135,-1.1538077727883886
2,r,C1,129,0.38412091170493856,-1.2112771155742978
3,i,C1,129,0.1681726577539166,-1.1651938197738427
4,z,C1,129,0.0006986957969808832,-1.112307131556982
0,All ,C1,130,0.0001518911087803939,-0.6019907682796009
1,g,C1,130,0.3865074982527236,-0.8642910917606259
2,r,C1,130,0.3286241425544324,-0.8217422142375664
3,i,C1,130,0.3784978551110838,-0.7906717497431239
4,z,C1,130,0.29158814412344125,-0.7131807468537011
0,All ,C1,131,0.0017150302597410405,-0.6136052915611294
1,g,C1,131,0.6968344159540116,-0.6272360611674479
2,r,C1,131,0.008806650282639276,-0.7465782246108518
3,i,C1,131,0.12276421867690787,-0.7304515150864984
4,z,C1,131,0.2866731730501726,-0.7195653664705198
0,All ,C1,136,2.445168102259768e-06,-0.7021876313350063
1,g,C1,136,0.6637098386748543,-1.136510160993914
2,r,C1,136,0.467578606286851,-1.1632695862709133
3,i,C1,136,0.2207400213090712,-1.1564124804341591
4,z,C1,136,2.9407721413673985e-05,-1.0987316639711933
0,All ,C1,140,3.628430283514339e-05,-1.0190108700265206
1,r,C1,140,0.3742751848979873,-1.314345726589026
2,i,C1,140,0.2372523865278061,-1.2951009530357769
3,z,C1,140,0.0008117485348383273,-1.2431601729309452
0,All ,C1,143,4.381538096834281e-05,-1.0960237877116774
1,r,C1,143,0.5451042664423097,-1.3094252695007482
2,i,C1,143,0.12146098337261725,-1.257146257858426
3,z,C1,143,0.0009492585337395887,-1.2077707974181855
0,All ,C1,151,0.0005191016176744334,-0.7334375776986768
1,g,C1,151,0.8516807442927297,-0.8675998829847776
2,r,C1,151,0.6555010328441705,-0.9746489449189872
3,i,C1,151,0.300203049150722,-1.0218538546701466
4,z,C1,151,0.005121764197020985,-0.9627210828452232
0,All ,C1,152,0.5566197581102463,-0.8350353178839095
1,g,C1,152,0.6800705526400348,-0.9483095180559656
2,r,C1,152,0.4370036131010776,-0.90085040398399
0,All ,C1,160,5.5537029182591714e-05,-0.508156853739449
