make pos
run sampler
run mcmc
sampler done
log_prob plot
max theta done
corner plot
         13333904 function calls (13227073 primitive calls) in 173.155 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      869    0.042    0.000    0.134    0.000 lines.py:670(recache)
     8516    0.042    0.000    0.042    0.000 {method 'take' of 'numpy.ndarray' objects}
15526/15404    0.042    0.000    0.106    0.000 core.py:1965(__hash__)
    24028    0.041    0.000    0.077    0.000 pyparsing.py:1618(__hash__)
      232    0.041    0.000    0.052    0.000 linalg.py:1953(slogdet)
    50243    0.041    0.000    0.284    0.000 numeric.py:469(asarray)
    12714    0.041    0.000    0.094    0.000 enum.py:265(__call__)
     4281    0.041    0.000    0.070    0.000 artist.py:634(set_figure)
     2960    0.040    0.000    0.454    0.000 card.py:271(value)
    26050    0.040    0.000    0.040    0.000 artist.py:236(axes)
     8784    0.040    0.000    0.040    0.000 {built-in method numpy.copyto}
    43742    0.040    0.000    0.040    0.000 core.py:1585(name)
 3500/466    0.039    0.000    0.929    0.002 pyparsing.py:2524(parseImpl)
    23005    0.038    0.000    0.038    0.000 _weakrefset.py:70(__contains__)
     7459    0.038    0.000    0.461    0.000 backend_pdf.py:589(<listcomp>)
     7461    0.038    0.000    0.038    0.000 {method 'find' of 'str' objects}
     5843    0.037    0.000    0.116    0.000 enum.py:801(__and__)
     2316    0.037    0.000    0.134    0.000 transforms.py:2290(__init__)
     3704    0.037    0.000    0.048    0.000 posixpath.py:73(join)
    20356    0.037    0.000    0.037    0.000 {method 'split' of 'str' objects}
      743    0.037    0.000    0.478    0.001 <frozen importlib._bootstrap>:861(_find_spec)
     2944    0.036    0.000    0.078    0.000 card.py:626(_check_if_rvkc_image)
      288    0.036    0.000    0.738    0.003 lines.py:769(draw)
     4001    0.036    0.000    0.036    0.000 {built-in method matplotlib._path.affine_transform}
      400    0.036    0.000  150.334    0.376 ensemble.py:292(_propose_stretch)
        9    0.035    0.004    0.494    0.055 core.py:177(add_enabled_units)
     1028    0.035    0.000    0.045    0.000 fromnumeric.py:41(_wrapit)
    14504    0.034    0.000    0.043    0.000 sre_parse.py:163(__getitem__)
    45379    0.034    0.000    0.131    0.000 {method 'get' of 'dict' objects}
     1448    0.034    0.000    0.108    0.000 card.py:291(value)
     5480    0.034    0.000    0.065    0.000 fromnumeric.py:1583(ravel)
 1491/888    0.034    0.000    0.158    0.000 transforms.py:2392(get_affine)
    10443    0.034    0.000    0.034    0.000 {built-in method numpy.empty}
     8706    0.034    0.000    0.668    0.000 polynomial.py:1247(__call__)
     8706    0.033    0.000    0.185    0.000 numeric.py:112(zeros_like)
     9309    0.033    0.000    0.420    0.000 transforms.py:1808(__init__)
     5242    0.033    0.000    0.135    0.000 pyparsing.py:558(copy)
3469/1949    0.033    0.000    0.175    0.000 core.py:1776(__call__)
    26457    0.032    0.000    0.120    0.000 {method 'add' of 'set' objects}
2971/2937    0.032    0.000    0.607    0.000 core.py:2000(__init__)
    15026    0.032    0.000    0.177    0.000 backend_pdf.py:394(write)
     2451    0.032    0.000    0.362    0.000 core.py:540(_get_physical_type_id)
     4737    0.031    0.000    0.033    0.000 {method 'sub' of '_sre.SRE_Pattern' objects}
       22    0.031    0.001    0.834    0.038 backend_bases.py:276(draw_path_collection)
    10545    0.031    0.000    0.036    0.000 _weakrefset.py:20(__enter__)
        1    0.031    0.031    0.031    0.031 ClusterEmcee2_newprob_mu.py:325(<listcomp>)
        1    0.031    0.031    0.031    0.031 ClusterEmcee2_newprob_mu.py:326(<listcomp>)
    15421    0.030    0.000    0.035    0.000 core.py:2033(__hash__)
    14333    0.030    0.000    0.228    0.000 fromnumeric.py:54(_wrapfunc)
    38888    0.030    0.000    0.030    0.000 {built-in method builtins.iter}
    10594    0.030    0.000    0.036    0.000 six.py:577(itervalues)
       23    0.030    0.001    1.832    0.080 backend_pdf.py:1639(draw_path_collection)
    18094    0.030    0.000    0.047    0.000 six.py:580(iteritems)
    12818    0.029    0.000    0.029    0.000 fromnumeric.py:70(<dictcomp>)
      944    0.029    0.000    0.029    0.000 {method 'clear' of 'dict' objects}
    15193    0.029    0.000    0.206    0.000 backend_pdf.py:582(write)
     1472    0.029    0.000    0.075    0.000 card.py:672(_parse_keyword)
       69    0.028    0.000    0.382    0.006 core.py:2180(_add_prefixes)
    12700    0.028    0.000    0.034    0.000 enum.py:515(__new__)
     1520    0.028    0.000    0.066    0.000 core.py:1508(__init__)
     4034    0.028    0.000    0.648    0.000 markers.py:223(set_fillstyle)
        8    0.028    0.003    0.028    0.003 {built-in method matplotlib._png.write_png}
      454    0.027    0.000    2.277    0.005 text.py:739(draw)
    12319    0.027    0.000    0.059    0.000 artist.py:326(pchanged)
     2279    0.027    0.000    0.032    0.000 backend_pdf.py:2234(fillcolor_cmd)
     2752    0.026    0.000    0.026    0.000 {built-in method posix.lstat}
    23526    0.026    0.000    0.048    0.000 core.py:6199(isMaskedArray)
     3627    0.026    0.000    0.164    0.000 numeric.py:2318(identity)
      660    0.026    0.000    0.073    0.000 version.py:198(__init__)
     3431    0.026    0.000    0.100    0.000 artist.py:851(update)
     6654    0.026    0.000    0.071    0.000 <frozen importlib._bootstrap_external>:57(_path_join)
    13283    0.026    0.000    0.170    0.000 {method 'all' of 'numpy.ndarray' objects}
    35116    0.025    0.000    0.025    0.000 {built-in method builtins.id}
25994/25285    0.025    0.000    0.048    0.000 {method 'join' of 'str' objects}
     4966    0.025    0.000    0.146    0.000 transforms.py:163(set_children)
     8494    0.025    0.000    0.080    0.000 fromnumeric.py:93(take)
      201    0.025    0.000  151.937    0.756 ensemble.py:130(sample)
     7371    0.025    0.000    0.025    0.000 validate.py:638(_parse_with_caching)
     1059    0.025    0.000    0.025    0.000 {method 'search' of '_sre.SRE_Pattern' objects}
     7338    0.025    0.000    0.497    0.000 configuration.py:275(__get__)
    20502    0.025    0.000    0.025    0.000 {method 'rstrip' of 'bytes' objects}
     2920    0.024    0.000    0.281    0.000 card.py:153(__init__)
     1340    0.024    0.000    0.026    0.000 font_manager.py:848(set_weight)
     8474    0.024    0.000    0.705    0.000 optimize.py:290(function_wrapper)
     1110    0.024    0.000    0.784    0.001 font_manager.py:1228(findfont)
      777    0.024    0.000    0.046    0.000 path.py:172(_fast_from_codes_and_verts)
     3702    0.023    0.000    0.097    0.000 font_manager.py:970(_normalize_font_family)
     1448    0.023    0.000    0.197    0.000 card.py:931(_format_image)
     7369    0.023    0.000    0.044    0.000 validate.py:652(_check_value)
     2968    0.023    0.000    0.023    0.000 {built-in method numpy.concatenate}
     6654    0.023    0.000    0.034    0.000 <frozen importlib._bootstrap_external>:59(<listcomp>)
     1472    0.023    0.000    0.189    0.000 card.py:712(_parse_value)
     3255    0.023    0.000    0.684    0.000 backend_pdf.py:1542(check_gc)
      232    0.023    0.000    0.146    0.001 polynomial.py:431(polyfit)
      648    0.023    0.000    0.033    0.000 path.py:376(iter_segments)
       54    0.023    0.000    0.218    0.004 ticker.py:1733(_raw_ticks)
    66178    0.023    0.000    0.023    0.000 artist.py:734(get_animated)
3903/1420    0.023    0.000    0.028    0.000 sre_parse.py:173(getwidth)
2536/1936    0.022    0.000    0.598    0.000 spines.py:404(get_spine_transform)
      630    0.022    0.000    0.025    0.000 text.py:887(get_unitless_position)
     1367    0.022    0.000    0.114    0.000 __init__.py:2530(_get_metadata)
   778/12    0.022    0.000    5.018    0.418 <frozen importlib._bootstrap>:931(_find_and_load_unlocked)
      269    0.022    0.000    0.023    0.000 function_base.py:1149(diff)
     4433    0.022    0.000    0.099    0.000 {built-in method builtins.any}
     3158    0.021    0.000    0.058    0.000 {method 'sort' of 'list' objects}
 7389/127    0.021    0.000    1.829    0.014 decorators.py:732(__get__)
        2    0.021    0.010    0.597    0.299 column.py:1218(_init_from_array)
     5976    0.021    0.000    0.067    0.000 utils.py:155(validate_power)
   686/16    0.021    0.000    5.009    0.313 <frozen importlib._bootstrap>:641(_load_unlocked)
     7371    0.021    0.000    0.090    0.000 validate.py:594(check)
    34724    0.020    0.000    0.020    0.000 {method 'items' of 'dict' objects}
     6200    0.020    0.000    0.160    0.000 fromnumeric.py:2083(any)
     1960    0.020    0.000    0.036    0.000 lines.py:39(_get_dash_pattern)
     1137    0.020    0.000    0.041    0.000 font_manager.py:998(<listcomp>)
        2    0.020    0.010    0.022    0.011 backend_qt5.py:121(_create_qApp)
     1832    0.020    0.000    0.659    0.000 backend_pdf.py:1631(draw_path)
        2    0.020    0.010    0.055    0.028 backend_pdf.py:1204(writeGouraudTriangles)
     1835    0.020    0.000    0.020    0.000 cbook.py:752(is_numlike)
     1448    0.020    0.000    0.026    0.000 column.py:1065(_convert_to_valid_data_type)
     1448    0.020    0.000    0.128    0.000 card.py:895(_format_value)
     3387    0.020    0.000    0.043    0.000 artist.py:341(set_transform)
    13532    0.020    0.000    0.020    0.000 transforms.py:1853(get_matrix)
     8636    0.020    0.000    0.032    0.000 cbook.py:678(iterable)
8862/5900    0.020    0.000    2.582    0.000 <frozen importlib._bootstrap>:989(_handle_fromlist)
     1835    0.020    0.000    0.022    0.000 lines.py:1222(set_markersize)
     1542    0.020    0.000    0.023    0.000 card.py:542(normalize_keyword)
    14480    0.019    0.000    0.019    0.000 util.py:121(_notify)
      587    0.019    0.000    0.019    0.000 {method 'splitlines' of 'str' objects}
       44    0.019    0.000    0.019    0.000 header.py:553(_find_end_card)
      551    0.019    0.000    0.034    0.000 <frozen importlib._bootstrap_external>:430(_validate_bytecode_header)
      130    0.019    0.000    0.202    0.002 backend_pdf.py:1709(draw_markers)
     2474    0.019    0.000    0.153    0.000 transforms.py:1957(translate)
     3620    0.019    0.000    0.059    0.000 re.py:169(match)
     2172    0.018    0.000    0.122    0.000 column.py:701(array)
    10545    0.018    0.000    0.018    0.000 _weakrefset.py:16(__init__)
     1354    0.018    0.000    0.044    0.000 artist.py:52(after)
        7    0.018    0.003    0.019    0.003 backend_agg.py:85(__init__)
     1315    0.018    0.000    0.127    0.000 text.py:189(__init__)
     5973    0.018    0.000    0.755    0.000 re.py:286(_compile)
      336    0.018    0.000    0.056    0.000 function_base.py:37(linspace)
      361    0.018    0.000    0.018    0.000 {built-in method io.open}
     2971    0.018    0.000    0.073    0.000 core.py:2113(<listcomp>)
      533    0.018    0.000    0.051    0.000 transforms.py:1910(rotate)
      595    0.017    0.000    0.056    0.000 inspect.py:2065(_signature_from_function)
