Running object 17999
('ROW:', 17999, 'Tau:', '2.9100005447392197', 'V:', '-0.5787053374100214', 'dMu:', '-0.055292264765846394')
         12188382 function calls (12106005 primitive calls) in 81.822 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     1472    0.007    0.000    0.068    0.000 card.py:716(_parse_value)
     9432    0.007    0.000    0.007    0.000 polynomial.py:1064(_coeffs)
23128/23120    0.007    0.000    0.012    0.000 {method 'join' of 'str' objects}
      202    0.007    0.000    0.490    0.002 text.py:329(_get_layout)
      426    0.007    0.000    0.007    0.000 {numpy.core.multiarray.arange}
     1450    0.007    0.000    0.013    0.000 linalg.py:138(_commonType)
     1072    0.007    0.000    0.019    0.000 version.py:198(__init__)
     6074    0.007    0.000    0.009    0.000 threading.py:187(release)
     3987    0.007    0.000    0.232    0.000 markers.py:223(set_fillstyle)
     2920    0.007    0.000    0.086    0.000 card.py:580(_check_if_rvkc)
    40530    0.007    0.000    0.007    0.000 core.py:1558(name)
     7393    0.007    0.000    0.036    0.000 validate.py:593(check)
     1916    0.007    0.000    0.023    0.000 artist.py:856(_update_property)
    12225    0.007    0.000    0.007    0.000 {method 'join' of 'unicode' objects}
        1    0.007    0.007   80.466   80.466 ClusterEmcee2_newprob_mu_old.py:273(preform_emcee)
     6646    0.007    0.000    0.010    0.000 posixpath.py:61(join)
    11400    0.007    0.000    0.007    0.000 colors.py:203(<genexpr>)
     2491    0.007    0.000    0.065    0.000 transforms.py:1957(translate)
2691/2658    0.007    0.000    0.153    0.000 core.py:1988(__init__)
     1472    0.007    0.000    0.021    0.000 header.py:1123(append)
     3616    0.007    0.000    0.011    0.000 lines.py:1054(_split_drawstyle_linestyle)
    14062    0.006    0.000    0.007    0.000 core.py:2021(__hash__)
     2960    0.006    0.000    0.125    0.000 card.py:275(value)
        2    0.006    0.003    0.173    0.087 column.py:1219(_init_from_array)
     6074    0.006    0.000    0.008    0.000 threading.py:147(acquire)
     7350    0.006    0.000    0.142    0.000 configuration.py:275(__get__)
        1    0.006    0.006    0.009    0.009 compressed.py:3(<module>)
     2158    0.006    0.000    0.041    0.000 transforms.py:2290(__init__)
        9    0.006    0.001    0.128    0.014 core.py:178(add_enabled_units)
 1783/246    0.006    0.000    0.209    0.001 pyparsing.py:3375(parseImpl)
3854/2791    0.006    0.000    0.092    0.000 core.py:2110(decompose)
     1269    0.006    0.000    0.007    0.000 font_manager.py:867(set_stretch)
     1869    0.006    0.000    0.106    0.000 backend_pdf.py:1433(writePath)
    24621    0.006    0.000    0.006    0.000 {method 'startswith' of 'str' objects}
2500/1900    0.006    0.000    0.201    0.000 spines.py:404(get_spine_transform)
     1808    0.006    0.000    0.009    0.000 lines.py:1458(set_dash_capstyle)
     4241    0.006    0.000    0.015    0.000 artist.py:634(set_figure)
      232    0.006    0.000    0.015    0.000 linalg.py:315(solve)
        1    0.006    0.006    0.006    0.006 {posix.read}
     1448    0.006    0.000    0.163    0.000 column.py:741(name)
     5516    0.006    0.000    0.019    0.000 utils.py:194(validate_power)
     2027    0.006    0.000    0.008    0.000 font_manager.py:720(__hash__)
     4580    0.006    0.000    0.015    0.000 artist.py:74(_stale_axes_callback)
     1448    0.006    0.000    0.057    0.000 card.py:935(_format_image)
     8318    0.006    0.000    0.006    0.000 {method 'format' of 'str' objects}
10446/10302    0.006    0.000    0.008    0.000 {issubclass}
     1808    0.006    0.000    0.022    0.000 lines.py:1086(set_linestyle)
     1081    0.006    0.000    0.006    0.000 {method 'round' of 'numpy.ndarray' objects}
    21952    0.006    0.000    0.013    0.000 card.py:213(keyword)
     7393    0.006    0.000    0.042    0.000 configuration.py:447(_validate_val)
    28340    0.006    0.000    0.006    0.000 {method 'rstrip' of 'str' objects}
      214    0.006    0.000    0.082    0.000 inspect.py:471(getmodule)
     2172    0.006    0.000    0.023    0.000 column.py:701(array)
       23    0.006    0.000    0.637    0.028 backend_pdf.py:1639(draw_path_collection)
     2679    0.005    0.000    0.015    0.000 pyparsing.py:732(copy)
     1874    0.005    0.000    0.049    0.000 backend_pdf.py:1425(pathOperations)
    10311    0.005    0.000    0.005    0.000 _weakrefset.py:16(__init__)
     1380    0.005    0.000    0.019    0.000 core.py:1481(__init__)
     2172    0.005    0.000    0.023    0.000 column.py:823(_verify_keywords)
      617    0.005    0.000    0.009    0.000 artist.py:953(update_from)
3396/2585    0.005    0.000    0.017    0.000 {method 'format' of 'unicode' objects}
     1448    0.005    0.000    0.039    0.000 card.py:899(_format_value)
     1162    0.005    0.000    0.021    0.000 transforms.py:781(__init__)
     8907    0.005    0.000    0.068    0.000 weakref.py:310(__new__)
      232    0.005    0.000    0.010    0.000 twodim_base.py:443(vander)
        4    0.005    0.001    0.113    0.028 __init__.py:2(<module>)
     5521    0.005    0.000    0.039    0.000 _methods.py:25(_amax)
      615    0.005    0.000    0.155    0.000 font_manager.py:1228(findfont)
      148    0.005    0.000    0.155    0.001 lines.py:769(draw)
     2944    0.005    0.000    0.008    0.000 card.py:630(_check_if_rvkc_image)
      480    0.005    0.000    0.007    0.000 cbook.py:1406(popall)
     1274    0.005    0.000    0.007    0.000 font_manager.py:885(set_size)
     6719    0.005    0.000    0.008    0.000 pyparsing.py:340(__new__)
     5977    0.005    0.000    0.038    0.000 {method 'any' of 'numpy.ndarray' objects}
    10262    0.005    0.000    0.007    0.000 card.py:463(field_specifier)
     5921    0.005    0.000    0.026    0.000 posixpath.py:132(islink)
       44    0.005    0.000    0.005    0.000 header.py:552(_find_end_card)
     7359    0.005    0.000    0.008    0.000 validate.py:897(is_boolean)
      207    0.005    0.000    0.005    0.000 {posix.listdir}
     2896    0.005    0.000    0.010    0.000 column.py:1962(_parse_tformat)
     5114    0.005    0.000    0.016    0.000 {any}
    17371    0.005    0.000    0.005    0.000 {method 'iteritems' of 'dict' objects}
     1808    0.005    0.000    0.005    0.000 cbook.py:752(is_numlike)
    11234    0.005    0.000    0.005    0.000 {iter}
      232    0.005    0.000    0.527    0.002 text.py:739(draw)
     1472    0.005    0.000    0.008    0.000 card.py:807(_split)
 1067/282    0.005    0.000    0.099    0.000 sre_parse.py:336(_parse_sub)
     1160    0.004    0.000    0.021    0.000 function_base.py:5114(append)
       24    0.004    0.000    0.031    0.001 __init__.py:1060(_rc_params_in_file)
     2841    0.004    0.000    0.011    0.000 {method 'sort' of 'list' objects}
      808    0.004    0.000    0.013    0.000 inspect.py:439(getsourcefile)
3427/2152    0.004    0.000    0.038    0.000 transforms.py:2322(_invalidate_internal)
      939    0.004    0.000    0.005    0.000 {method '__reduce_ex__' of 'object' objects}
     3346    0.004    0.000    0.013    0.000 artist.py:341(set_transform)
     3975    0.004    0.000    0.049    0.000 transforms.py:2471(composite_transform_factory)
     8631    0.004    0.000    0.004    0.000 {method 'update' of 'dict' objects}
     2172    0.004    0.000    0.017    0.000 column.py:986(_determine_formats)
    23260    0.004    0.000    0.004    0.000 artist.py:236(axes)
     1808    0.004    0.000    0.006    0.000 lines.py:1198(set_markerfacecolor)
     2394    0.004    0.000    0.045    0.000 backend_bases.py:1012(set_foreground)
    40695    0.004    0.000    0.004    0.000 {id}
    11492    0.004    0.000    0.004    0.000 {min}
    11653    0.004    0.000    0.004    0.000 transforms.py:1853(get_matrix)
      502    0.004    0.000    0.029    0.000 ticker.py:1703(set_params)
     1448    0.004    0.000    0.010    0.000 column.py:202(__new__)
      433    0.004    0.000    0.009    0.000 transforms.py:1910(rotate)
    10316    0.004    0.000    0.004    0.000 {method 'itervalues' of 'dict' objects}
      939    0.004    0.000    0.007    0.000 copy.py:306(_reconstruct)
      801    0.004    0.000    0.004    0.000 {method 'rand' of 'mtrand.RandomState' objects}
      324    0.004    0.000    0.004    0.000 {method 'accumulate' of 'numpy.ufunc' objects}
      493    0.004    0.000    0.014    0.000 ticker.py:1695(_staircase)
     5036    0.004    0.000    0.014    0.000 colors.py:107(_is_nth_color)
     1808    0.004    0.000    0.005    0.000 lines.py:1019(set_drawstyle)
     1986    0.004    0.000    0.006    0.000 text.py:1204(set_text)
     1936    0.004    0.000    0.007    0.000 lines.py:39(_get_dash_pattern)
     1745    0.004    0.000    0.010    0.000 shape_base.py:11(atleast_1d)
      108    0.004    0.000    0.028    0.000 _base.py:2276(handle_single_axis)
     3917    0.004    0.000    0.027    0.000 utils.py:176(sanitize_scale)
     5124    0.004    0.000    0.005    0.000 weakref.py:56(remove)
     1682    0.004    0.000    0.010    0.000 linalg.py:105(_makearray)
     2647    0.004    0.000    0.014    0.000 transforms.py:1770(transform_point)
     3923    0.004    0.000    0.007    0.000 lines.py:68(_scale_dashes)
