Running object 3347
ROW: 3347 Tau: 2.277185400623659 V: -0.6861684569433611 dMu: 0.004063536676571083
         13288560 function calls (13181823 primitive calls) in 200.525 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        7    0.015    0.002    0.016    0.002 backend_agg.py:85(__init__)
     3684    0.015    0.000    0.073    0.000 font_manager.py:970(_normalize_font_family)
      597    0.015    0.000    0.015    0.000 {method 'read' of '_io.FileIO' objects}
       11    0.015    0.001    0.094    0.009 artist.py:1145(_get_setters_and_targets)
     3381    0.015    0.000    0.018    0.000 <frozen importlib._bootstrap>:402(parent)
     1448    0.015    0.000    0.175    0.000 card.py:895(_format_value)
     1602    0.015    0.000    0.066    0.000 _weakrefset.py:81(add)
     1334    0.015    0.000    0.017    0.000 font_manager.py:848(set_weight)
      766    0.015    0.000    0.112    0.000 markers.py:701(_set_tickleft)
    10262    0.015    0.000    0.031    0.000 card.py:459(field_specifier)
      104    0.015    0.000    0.015    0.000 {method 'draw_text_image' of 'matplotlib.backends._backend_agg.RendererAgg' objects}
     5187    0.015    0.000    0.090    0.000 fromnumeric.py:2397(amax)
     1852    0.014    0.000    0.259    0.000 backend_pdf.py:1433(writePath)
        9    0.014    0.002    0.120    0.013 core.py:40(_flatten_units_collection)
     7263    0.014    0.000    0.014    0.000 {method 'ravel' of 'numpy.ndarray' objects}
      312    0.014    0.000    0.015    0.000 backend_agg.py:54(get_hinting_flag)
     4082    0.014    0.000    0.015    0.000 pyparsing.py:1021(preParse)
      144    0.014    0.000    0.058    0.000 utils.py:42(_iter_unit_summary)
      358    0.014    0.000    0.317    0.001 __init__.py:1967(find_on_path)
      719    0.014    0.000    0.097    0.000 sre_compile.py:223(_compile_charset)
       95    0.014    0.000    0.014    0.000 {method 'draw_glyphs_to_bitmap' of 'matplotlib.ft2font.FT2Font' objects}
     9432    0.014    0.000    0.035    0.000 weakref.py:334(__new__)
     4854    0.014    0.000    0.014    0.000 font_manager.py:793(get_file)
    10541    0.014    0.000    0.014    0.000 {method 'remove' of 'set' objects}
      401    0.014    0.000    0.014    0.000 ensemble.py:388(<listcomp>)
    16506    0.013    0.000    0.013    0.000 {method 'join' of 'bytes' objects}
     1434    0.013    0.000    0.086    0.000 fromnumeric.py:3373(round_)
     9669    0.013    0.000    0.013    0.000 {built-in method posix.fspath}
      587    0.013    0.000    0.013    0.000 {method 'splitlines' of 'str' objects}
       24    0.013    0.001    0.090    0.004 __init__.py:1060(_rc_params_in_file)
     2565    0.013    0.000    0.013    0.000 version.py:207(<genexpr>)
     4112    0.013    0.000    0.154    0.000 transforms.py:2471(composite_transform_factory)
      401    0.013    0.000    0.013    0.000 ensemble.py:382(<listcomp>)
     1284    0.013    0.000    0.017    0.000 font_manager.py:885(set_size)
    10541    0.013    0.000    0.013    0.000 _weakrefset.py:16(__init__)
     4007    0.013    0.000    0.477    0.000 markers.py:223(set_fillstyle)
      672    0.013    0.000    0.085    0.000 markers.py:721(_set_tickdown)
      139    0.013    0.000    0.046    0.000 transforms.py:723(union)
     1082    0.013    0.000    0.013    0.000 {method 'flatten' of 'numpy.ndarray' objects}
      112    0.012    0.000    0.012    0.000 text.py:895(get_position)
        1    0.012    0.012    0.135    0.135 collections.py:1860(<listcomp>)
     2172    0.012    0.000    0.062    0.000 column.py:985(_determine_formats)
      553    0.012    0.000    0.012    0.000 <frozen importlib._bootstrap_external>:800(__init__)
    15886    0.012    0.000    0.084    0.000 numeric.py:541(asanyarray)
     1024    0.012    0.000    0.118    0.000 backend_pdf.py:873(get_char_width)
     6892    0.012    0.000    0.012    0.000 {method 'extend' of 'list' objects}
  217/202    0.012    0.000    0.216    0.001 inspect.py:684(getmodule)
     3624    0.012    0.000    0.032    0.000 re.py:169(match)
       16    0.012    0.001    0.012    0.001 {built-in method addAction}
      400    0.012    0.000    0.013    0.000 cbook.py:2199(is_math_text)
     4972    0.012    0.000    0.050    0.000 artist.py:74(_stale_axes_callback)
     1140    0.012    0.000    0.029    0.000 font_manager.py:998(<listcomp>)
     2523    0.012    0.000    0.012    0.000 {method 'copy' of 'numpy.ndarray' objects}
    10405    0.012    0.000    0.012    0.000 weakref.py:125(_commit_removals)
     5667    0.012    0.000    0.017    0.000 weakref.py:109(remove)
     1849    0.012    0.000    0.018    0.000 lines.py:640(axes)
      634    0.012    0.000    0.015    0.000 inspect.py:2678(__init__)
     1140    0.012    0.000    0.041    0.000 font_manager.py:996(make_rcparams_key)
       15    0.012    0.001    0.016    0.001 axis.py:2082(_get_offset_text)
      166    0.011    0.000    0.012    0.000 fontconfig_pattern.py:144(_name)
     4263    0.011    0.000    0.039    0.000 artist.py:634(set_figure)
        1    0.011    0.011    0.029    0.029 ClusterEmcee2_newprob_mu.py:97(lnlike_old)
      174    0.011    0.000    0.028    0.000 transforms.py:694(translated)
      634    0.011    0.000    0.019    0.000 text.py:887(get_unitless_position)
     1998    0.011    0.000    0.012    0.000 pyparsing.py:1744(parseImpl)
2524/1924    0.011    0.000    0.372    0.000 spines.py:404(get_spine_transform)
      160    0.011    0.000    0.046    0.000 cm.py:67(_generate_cmap)
      381    0.011    0.000    0.049    0.000 transforms.py:1448(transform_path_non_affine)
        9    0.011    0.001    0.011    0.001 {method 'write' of '_io.TextIOWrapper' objects}
     1448    0.011    0.000    0.024    0.000 card.py:1180(_format_value)
     2310    0.011    0.000    0.125    0.000 transforms.py:2290(__init__)
11515/11361    0.011    0.000    0.015    0.000 {built-in method builtins.issubclass}
        4    0.011    0.003    0.011    0.003 {built-in method matplotlib.ttconv.get_pdf_charprocs}
